No,검색어,결과값
223,수성 탈지면,
223,수성 탈지면,탈지면
231,드레싱밴드 L,
233,부스코판당의정,부틸스코폴라민브롬화물
238,슬림락,센나및센나열매메탄올건조엑스(1000→7)/비사코딜
239,둘코락스좌약,비사코딜
240,부스코판플러스정,부틸스코폴라민브롬화물/아세트아미노펜
244,센스락유 연질캡슐,비사코딜/우르소데옥시콜산/도큐세이트나트륨
272,수성 탄력붕대 대,
272,수성 탄력붕대 대,
276,노즈원큐 무향,자일로메타졸린염산염/L-카르보시스테인
277,노즈케어점비액,나파졸린염산염/클로르페니라민말레산염/글리시리진산디칼륨
278,화콜 나잘스프레이 0.1%,자일로메타졸린염산염
279,오트리빈,자일로메타졸린염산염
279,오트리빈,자일로메타졸린염산염
282,엘칸정,엘-카르니틴
283,노이로민,세인트존스워트80%메탄올건조엑스
284,알룬정,알긴산/카르복시메틸셀룰로오스나트륨
285,나오미정,방기황기탕건조엑스(7.52→1)
286,아시원정,방풍통성산연조엑스(5.2→1)
295,레모나산,제피아스코르브산/리보플라빈/피리독신염산염
295,레모나산,제피아스코르브산/리보플라빈/피리독신염산염
305,듀오그린정,도큐세이트나트륨/센나엽가루/Tinnevelly 센나열매가루/비사코딜
309,그린포비돈스틱 스왑,포비돈 요오드
310,포비돈요오드액,포비돈 요오드
310,포비돈요오드액,포비돈 요오드
311,포비딘,포비돈 요오드
311,포비딘,포비돈요오드
313,멀티클린,옥손(과황산화합물)/탄산수소나트륨/건조탄산나트륨
313,멀티클린,이산화규소/일불소인산나트륨
315,마데카솔 분말,센텔라정량추출물
317,솔트액,나파졸린염산염/벤제토늄염화물/디부카인염산염/클로르페니라민말레산염
318,애니클렌,클로르헥시딘글루콘산염 액/디펜히드라민염산염/디부카인염산염/알란토인/나파졸린염산염
319,스티모린에스크림,소맥추출수성액(1→108)
326,옥미인단,향부자/작약/현호색/시라자/감초/숙지황/백출/육계/목단피/천궁/사인/아교/건강/당귀/오수유/진피/복령
327,아르테환,향부자/당귀/아출/오약/목단피/천궁/현호색/시호/홍화/애엽/삼릉/오매
329,과산화수소수,과산화수소수35%
329,과산화수소수,과산화수소수35%
330,디크로닉,클로닉신리시네이트
330,디크로닉,클로닉신리시네이트
332,나프록센나트륨,나프록센나트륨
332,나프록센나트륨,나프록센나트륨
333,덱시엔,덱시부프로펜
334,탁센 레이디,이부프로펜/산화마그네슘/파마브롬
335,탁센연질캡슐,나프록센
336,레이디퀸,이부프로펜/파마브롬
337,한솔 이부프로펜 연질,이부프로펜
342,캐롤에프정,이부프로펜아르기닌
343,브레핀 에스 연질캡슐,이부프로펜
344,게보린정,아세트아미노펜/카페인무수물/이소프로필안티피린
345,나렉신정,나프록센나트륨
347,바이엘 아스피린,아스피린
347,바이엘 아스피린,아스피린
349,아스피린 장용정,아스피린
349,아스피린 장용정,아스피린
351,솔루펜연질캡슐,덱시부프로펜
352,부루펜시럽,이부프로펜
353,프론크논,지실/작약/길경/건강/대추/감초/배농산급탕연조엑스(4→1)
353,프론크논,배농산급탕연조엑스(4→1)
354,인플라정,브로멜라인/결정트립신
355,트립라인,브로멜라인/결정트립신
356,반사신정,반하사심탕연조엑스(3.8∼4.7→1)
